review,sentiment
"Though the plot elements to ""The Eighth Day"" seem like they have been done plenty of times, the film still has much of the spark, mystery, and symbolism that Jaco Van Dormal's first film had. Though not as good as ""Toto the Hero"", which will always remain on my favorites list, the movie still leaves us with lots of emotions. Daniel Auteil, from 2001's flavorless ""The Closet"" downplays his part, afraid to overact (rightfully so, the role could have easily been ruined if the actor was overly dramatic). However, I felt the part needed a bit more realism to it, focusing more on the character itself instead of simply the character's growth.<br /><br />Don't walk into this movie expecting the dark humor and unexpected twists that you got from ""Toto the Hero"" because you will be disappointed. However, the film still serves as a decent, if not flawed, movie",positive
"Copy cats have copied this movie from a 1974 Hindi movie called ""Call Girl""! ""Call Girl"" had an identical story line. The way in which the protagonists fall in love, then rebel and the climax all same in both these films! ""Call Girl"" is better than Water, at least from the story telling point of view. It was not as agonizingly slow as Water! Water on the contrary does not progresses at all. The aim is perhaps to make the audience sympathize with Kalyani for ever! Are Indian film makers any better than just being great copiers these days? Well they call it ""being inspired"". In their language it is: ""getting inspired (without any citation that is!)""! :)",negative
"This is a wonderful comedy short--one of Keaton's absolute best. Through a long series of silly mistakes, Buster is mistaken for a wanted killer. And, as a result, most of the film consists of him running from the cops and one detective in particular. While generally I am NOT a fan of movies with a lot of chase scenes, this one is the absolute best as far as pure athletic and acrobatic ability. I have seen some that have had wilder stunts, but none where the star was so limber and able to move with amazing grace. In particular, there is a scene where he runs across a table, jumps on a man's shoulders and dives up through the transom as lithely as is humanly possible. Plus so many of the gags are funny and perfectly timed, such as how he really comes to believe that he's actually killed someone. By the way, this film is VERY similar to COPS, also by Keaton, but original enough and with enough energy to make them both worth seeing.<br /><br />This film is brilliant and the only Keaton short I can think of that I probably liked even more was THE PLAYHOUSE--where Buster plays every role at the theater.",positive
"Wirey's journey through the final days of bachelorhood, liberally sprinkled with flashbacks to a sexually active and diverse childhood.<br /><br />It's definitely not a feel-good romance movie. It is a romance movie, but one without illusions. Everyone's an adult here, not your cup of tea if you want another Sleepless in Seattle or Notting Hill.",positive
"I saw this movie in the theater when I was 14 and it changed my life. I immediately cut off my hair and began buying all of the records of the bands in the movie. These were some of the seminal bands of L.A. punk rock caught on film at the peak of their powers. Bands like Black Flag (pre-Rollins), Circle Jerks, Fear, X, and the Germs have few equals in the history of punk music. I can't believe this film has never been put out on video or DVD. Great movie for fans of punk rock.",positive
If you are an insomniac and you cant get anything to get you to sleep i definitely recommend this movie. If you are renting it for whatever other reason....DONT!....this movie is by far one of the most slow moving turtle motivated movies i have ever seen. The only reason i rented it was because my brother wanted to for some odd and strange reason. I cant even write about this movie anymore...GET IT AWAY FROM ME!!!!!!!!,negative
"If you read the book by Carl Hiaasen, the movie follows pretty much true to form, with a few minor changes for Hollywood. In my opinion this is a great family movie. Luke Wilson (Officer Delinko)pretty well steals the show from an all-star cast that includes Robert Wagner and Jimmy Buffet. The kids in the movie do a great job led by Logan Lerman, Brie Larson, and Cody Linley.<br /><br />Brie Larson is maybe a little too petite to play Beatrice. I pictured a bigger girl, maybe 6 foot, 175 lbs, in the role of Beatrice. This might have made her more believable in her role of beating up Dana. They should have developed her ""tough girl"" character more, and had her bite through a tire, or kick a soccer ball through a person. She is very pretty, and I understand why she was cast, she is a box office attraction.<br /><br />This is about as PG as a movie gets these days, no sex, and very little violence. This movie is a parents'dream come true, a movie with a strong environmental message, with kids that have deep appreciation for the beauty of Florida and its wildlife. It shows how adults have fallen short in the stewardship of our planet, and that our children can demand better. One of my favorite lines in the movie is when Mullet Fingers says, ""Florida could use some mountains like Montana. Florida is so flat there is nothing to stop developers from clearing it coast to coast"". Also, the photography of Florida wildlife spoke volumes without dialog. As a family movie with kids ages 5-15, this is a great movie! As a bonus parents' will be entertained, especially if they're ""parrotheads"".",positive
"This show is good. I like the acting, funny bits and the cuteness of it. The actors, Lee Pace, Ann Friel... etc, they all did great in the show. The show started off great with its funny, illogical basic idea of bringing dead people back in the first series and honestly, as what people said, the first few episodes of the second series were a bit of a let down but it later came back looking good anyway. And now I really hate the fact that it's going to be cancelled. Why doesn't ABC just let it finish until the very end when all the episodes are already done?? I really wanna know how the story's going to be. I think it should be given a chance as there're still so many viewers who love it.",positive
"Street Fight is a brilliant piece of brutal satire. This is not a movie you just watch for fun. It is not a comfortable experience, although it does have some laugh-out-loud moments. This is a movie you watch when you need food for thought.<br /><br />To dismiss this film as simply racist is to miss the point entirely. This is not only a satire of Song of the South, it's also a biting commentary on the prejudices that Americans still have as a society. Every ethnic group portrayed in the movie gets shown as grotesque caricatures of their stereotypes, which in turn are grotesque caricatures of real people. Through this wild exaggeration, the filmmaker shows just how absurd these tightly-held beliefs really are.<br /><br />If you're the sort of person who's willing to acknowledge the ugliness of the prevalent prejudices American culture still holds, and if you're not afraid to look your own prejudices in the eye, this movie may be for you.",positive
"Although it strays away from the book a little, you can't help but love the atmospheric music and settings.<br /><br />The scenes in Bath are just how they should be. Although if you have watched it as many times as I have you notice that the background people are the same in each scene, but that aside, I like the scene where they are in the Hot Baths, but did the men and women really bathe together like that? You could see all the men perched around the outside leering at the women. It also seemed strange that they all had their hats on, but perhaps this was the style at the time. The ballroom scenes were very nice, the dancing and the outfits looked beautiful. I especially liked Catherine's dress in the first ballroom scene.<br /><br />Northanger Abbey looked suitably imposing, but I enjoyed the Bath scenes better.<br /><br />Schlesinger gives a good but not exceptional performance as Catherine Morland. Googie Withers gives the best performance as Mrs Allen I feel.<br /><br />Ugh Peter Firth as Mr Tilney, he just talks a load of rubbish, and is not a clergyman as he should be, it's hard to think of him being in love with Catherine, but then the book never really gave that impression either.<br /><br />General Tilney is played reasonably well by Hardy, and Stuart also gives a sort of good performance as Isabella. Ingrid Lacey did not give a good performance as Elinor Tilney. As for John Thorpe, well he gives the impression of a seedy and lustful man, perhaps not the character portrayed in the book, but I quite like it.<br /><br />I can handle scenes being cut from a book adaptation, but when new scenes and characters are added it usually annoys me. The marchioness! I hate her. She is not part of the Northanger story and neither is her cartwheeling page boy.<br /><br />some of the script is peculiar. When Catherine is asking Elinor Tilney about her Mothers death she asks ""I suppose you saw the body? How did it appear?"" What a silly thing to say! Elinor's calm response is stupid too.<br /><br />anyway please tell me if you agree or disagree with me",positive
"Along with Fernando Fragata, João Mário Grilo, Abi Feijó, Leonel Vieira, étc...(other commercial directors), Diamantino Costa is one of the best Portuguese Directors; ""O Lampião da Estrela"" was his (Diamantino Costa) First movie, before he made several successful commercials. This title is starred by one of the best Portuguese comedians of all times, Herman José and José Pedro Gomes are great. Its a very funny movie!! (28/07/2000)<br /><br />BOA SORTE DIAMANTINO...",positive
"Interesting characters, lots of tension. As close to black and white without being black and white. I was turned off by how casually the supposedly sympathetic mainstream character, a quiet, near deaf secretary, was able to turn to crime to ruin colleagues, rough up people in her way and finally participate in a heist, and set up someone to be bumped off as a decoy to her own get-away. I'm a little put off by the trend for otherwise quality movies to portray criminals in a sympathetic way without addressing the injury they've done to others other than to portray their immediate opponents as jerks. In this film we never know who's money it really is they abscond with, or what happens to the innocent wife who the sympathetic deaf-secretary uses to set up the of the sleazy bar owner to take the fall for the missing loot. Too bad, the film could have been great.",positive
